Topic_ID,Name,Category,Keywords,Total_Count,In_User_Top10,In_Bot_Top10,User_Count,Bot_Count
69,Hug/Angry/Tightly,General,"hug, angry, tightly, imsorry",62,False,False,0,0
70,Emotion/Stress/Guilt,Emotional,"emotion, stress, guilt, responsibly",61,False,False,0,0
71,Shake/Crab/Waving,General,"shake, crab, waving, head",61,False,False,0,0
72,Siart/Siari/Cry,General,"siart, siari, cry, awake",61,False,False,0,0
73,Goodbye/V19/Gone,General,"goodbye, v19, gone, farewell",60,False,False,0,0
74,Jpaws/Smilesitscalled/Dllergic,General,"jpaws, smilesitscalled, dllergic, iive",57,False,False,0,0
75,Baby/Abit/Babyiwas,General,"baby, abit, babyiwas, tensiar",57,False,False,0,0
76,Xe/Xa/Zzombie,General,"xe, xa, zzombie, skeletal",57,False,False,0,0
77,Wi/Internet/Kaur,General,"wi, internet, kaur, rupi",57,False,False,0,0
78,Bo/Witine/Muchlike,General,"bo, witine, muchlike, thananyones",56,False,False,0,0
79,Brightly/Guy/Strawberry,General,"brightly, guy, strawberry, staring",56,False,False,0,0
80,Paul/Pro/Birthday,General,"paul, pro, birthday, pauley",56,False,False,0,0
81,Consciousness/Conscious/Egoic,General,"consciousness, conscious, egoic, brain",56,False,False,0,0
82,Lizard/Permanently/Ently,General,"lizard, permanently, ently, doneityet",55,False,False,0,0
83,Wetting/Wet/Gemma,General,"wetting, wet, gemma, abowld",55,False,False,0,0
84,Taco/Starcraft/Sims,General,"taco, starcraft, sims, price",55,False,False,0,0
85,Store/Rabid/Rabbit,General,"store, rabid, rabbit, sister",55,False,False,0,0
86,Sansa/Sovech/Io,General,"sansa, sovech, io, clive",55,False,False,0,0
87,Mean/Diék/Anbut,General,"mean, diék, anbut, mrath",54,False,False,0,0
88,Wink/Caption/Stuck,General,"wink, caption, stuck, beck",54,False,False,0,0
89,Arm/72/Wrepsiher,General,"arm, 72, wrepsiher, whatsone",54,False,False,0,0
90,Confused/Understand/Legitimately,General,"confused, understand, legitimately, case",54,False,False,0,0
91,Playfully/Roll/Flirt,Entertainment,"playfully, roll, flirt, flirting",54,False,False,0,0
92,Er/Youtlack/Butwho,General,"er, youtlack, butwho, ighis",54,False,False,0,0
93,Power/Manipulate/Powerful,General,"power, manipulate, powerful, 14is",54,False,False,0,0
94,Goodness/Ohimy/Inotmine,General,"goodness, ohimy, inotmine, inmemory",54,False,False,0,0
95,Btart/Bta/Rt,Communication,"btart, bta, rt, linawetalka",54,False,False,0,0
96,Mie/Gi/Agee,General,"mie, gi, agee, miu",54,False,False,0,0
97,Nervous/Scare/Scared,General,"nervous, scare, scared, nervously",54,False,False,0,0
98,Wl/Dw/Mp,General,"wl, dw, mp, icc",53,False,False,0,0
99,Fl/Message/Youchuckling,General,"fl, message, youchuckling, soto",53,False,False,0,0
100,Mandy/Roger/Licence,General,"mandy, roger, licence, naime",53,True,False,45,0
101,Honeyand/Blueberry/Honk,General,"honeyand, blueberry, honk, fondly",53,False,False,0,0
102,Affection/Youtooof/Orless,General,"affection, youtooof, orless, despercite",52,False,False,0,0
103,Softly/Pet/Thatsgood,Animals,"softly, pet, thatsgood, laughis",52,False,False,0,0
104,Fruit/Strawberry/Pouty,General,"fruit, strawberry, pouty, store",51,False,False,0,0
105,Sempre/4Cookiesnow/Kommentare,Daily Life,"sempre, 4cookiesnow, kommentare, pb",50,False,False,0,0
106,Bite/Wasp/2007,General,"bite, wasp, 2007, lédns",50,False,False,0,0
107,Sending/Learn/Photo,General,"sending, learn, photo, seeing",50,False,False,0,0
108,Chair/Leg/Many,General,"chair, leg, many, kitchen",50,False,False,0,0
109,Handand/Cut/Hand,Physical,"handand, cut, hand, dongle",50,False,False,0,0
110,Wallet/Gift/Christmas,General,"wallet, gift, christmas, calfskin",50,False,False,0,0
111,Walk/Walking/1990,General,"walk, walking, 1990, densely",50,False,False,0,0
112,Pic/Send/Seeing,Emotional,"pic, send, seeing, enjoy",50,False,False,0,0
113,Lam/Tattoo/150,General,"lam, tattoo, 150, offend",50,False,False,0,0
114,Respiratory/Cer/Solan,General,"respiratory, cer, solan, conit",49,False,False,0,0
115,Door/Room/Lead,General,"door, room, lead, library",49,False,False,0,0
116,It3/Alwaysa/Cruising,General,"it3, alwaysa, cruising, meme",49,False,False,0,0
117,Yesand/Yesp/Undoubtedly,General,"yesand, yesp, undoubtedly, absolutely",49,False,False,0,0
118,Pickle/Blueberry/Money,General,"pickle, blueberry, money, delicious",48,False,False,0,0
119,Accomplishment/Numbe/Variable,General,"accomplishment, numbe, variable, morethdn",48,False,False,0,0
120,Ode/Timeis/Glee,General,"ode, timeis, glee, lister",48,False,False,0,0
121,World/Greatest/Évil,Daily Life,"world, greatest, évil, lifesaver",48,False,False,0,0
122,Pick/Picking/Choice,General,"pick, picking, choice, abotital",48,False,False,0,0
123,Yout/Stubborn/Alwayswanted,General,"yout, stubborn, alwayswanted, andfemale",47,False,False,0,0
124,Lone/Kee/Yon,General,"lone, kee, yon, wae",47,False,False,0,0
125,Clothes/Dry/Washer,General,"clothes, dry, washer, bath",47,False,False,0,0
126,Closed/Close/Eye,General,"closed, close, eye, closing",47,False,False,0,0
127,Es/Exploreme/Esis,General,"es, exploreme, esis, spedk",46,False,False,0,0
