Emotion,User_Mean,Chatbot_Mean,Difference,p_value,Conclusion,N_dialogues
anger,0.0039009873040740674,0.0024786293595060543,-0.0014223579445680132,0.0318404635984561,Lower,5476
disgust,0.001368499861244182,0.0006030361848607358,-0.0007654636763834463,0.011306330463489644,Lower,5476
fear,0.0010650322963271606,0.002569981085443572,0.0015049487891164116,0.0011866606177309183,Higher,5476
sadness,0.003871461984095766,0.007322668719475276,0.0034512067353795104,9.010597385084558e-05,Higher,5476
surprise,0.0034624866549909272,0.00553561643779293,0.0020731297828020024,0.00490736119420328,Higher,5476
joy,0.014289619708201475,0.037283998899974635,0.022994379191773162,8.400459824975297e-45,Higher,5476
love,0.01878040269114534,0.044885893581083136,0.026105490889937796,3.798139173076101e-31,Higher,5476
optimism,0.0020246126024142754,0.004001712224717972,0.0019770996223036964,0.0017690276429783139,Higher,5476
