Rank,Topic,Count
1,"Topic 0: te, ae, ee",9161
2,"Topic 1: smile, typing, start",3561
3,Outliers,1961
4,"Topic 2: take, breath, water",328
5,"Topic 3: chocolate, cream, eat",280
6,"Topic 5: al, ie, ieee",152
7,"Topic 4: ring, diamond, beautiful",117
8,"Topic 7: human, person, word",55
