topic,count,prop
-1,1866,0.11814613144231986
0,1428,0.09041408129669495
4,94,0.005951627200202609
10,84,0.00531847537039382
6,76,0.00481195390654679
17,64,0.0040521717107762445
37,63,0.003988856527795365
8,60,0.003798910978852729
20,59,0.00373559579587185
44,55,0.003482335063948335
