topic,count,prop
-1,999,0.3566583363084613
0,175,0.06247768654052124
2,80,0.028561228132809712
5,74,0.026419136022848982
4,55,0.019635844341306677
1,49,0.017493752231345947
3,48,0.017136736879685827
7,38,0.013566583363084613
8,36,0.01285255265976437
21,35,0.012495537308104248
