topic,count,prop
-1,979,0.3284132841328413
0,199,0.06675612210667561
1,139,0.04662864810466286
3,98,0.03287487420328749
2,71,0.023817510902381753
4,66,0.02214022140221402
6,55,0.01845018450184502
5,43,0.01442468970144247
9,40,0.01341831600134183
20,40,0.01341831600134183
